iter	Passed	Remaining
0	58	58889
1	59	29659
2	59	19885
3	60	14998
4	60	12064
5	61	10112
6	61	8714
7	61	7663
8	62	6847
9	62	6182
10	62	5663
11	63	5219
12	63	4842
13	64	4522
14	64	4241
15	64	3997
16	65	3781
17	65	3589
18	66	3418
19	66	3263
20	66	3123
21	67	2995
22	67	2880
23	68	2771
24	68	2672
25	68	2581
26	69	2497
27	69	2418
28	70	2345
29	70	2277
30	70	2213
31	71	2153
32	71	2096
33	71	2044
34	72	1994
35	72	1947
36	73	1902
37	73	1859
38	73	1820
39	74	1782
40	74	1745
41	75	1711
42	75	1679
43	75	1647
44	76	1617
45	76	1588
46	77	1561
47	77	1536
48	77	1510
49	78	1489
50	78	1469
51	79	1447
52	80	1430
53	80	1409
54	80	1389
55	81	1371
56	81	1352
57	82	1334
58	82	1316
59	82	1299
60	83	1282
61	83	1267
62	84	1251
63	84	1236
64	84	1221
65	85	1207
66	85	1193
67	86	1179
68	86	1166
69	86	1154
70	87	1142
71	87	1130
72	88	1118
73	88	1107
74	88	1096
75	89	1085
76	89	1075
77	90	1065
78	90	1055
79	90	1045
80	91	1036
81	91	1026
82	92	1017
83	92	1008
84	92	1000
85	93	991
86	93	982
87	94	977
88	94	969
89	95	962
90	95	955
91	96	948
92	96	941
93	96	934
94	97	926
95	97	920
96	98	913
97	98	906
98	98	900
99	99	893
100	99	887
101	100	881
102	100	875
103	100	869
104	101	863
105	101	857
106	102	851
107	102	846
108	102	840
109	103	835
110	103	830
111	104	825
112	104	820
113	104	815
114	105	810
115	108	825
116	108	821
117	109	817
118	110	816
119	111	815
120	111	810
121	112	806
122	112	802
123	112	798
124	113	793
125	113	789
126	114	785
127	114	780
128	115	776
129	115	772
130	115	769
131	116	765
132	116	761
133	117	757
134	117	752
135	117	748
136	118	744
137	118	741
138	119	737
139	119	733
140	119	730
141	120	726
142	120	722
143	121	719
144	121	716
145	121	712
146	122	709
147	122	706
148	123	702
149	123	699
150	123	696
151	124	693
152	124	691
153	125	687
154	125	684
155	126	681
156	126	678
157	126	675
158	127	672
159	127	670
160	128	667
161	128	664
162	128	661
163	129	658
164	129	655
165	130	653
166	130	650
167	130	647
168	131	645
169	131	642
170	131	639
171	132	636
172	132	634
173	133	631
174	133	629
175	133	626
176	134	624
177	134	621
178	135	619
179	135	616
180	135	614
181	136	612
182	136	609
183	136	607
184	137	605
185	137	602
186	138	601
187	138	599
188	139	597
189	139	595
190	139	592
191	140	591
192	140	588
193	141	586
194	141	584
195	142	582
196	142	581
197	142	579
198	143	577
199	143	575
200	144	572
201	144	570
202	144	568
203	145	566
204	145	564
205	145	562
206	146	560
207	146	559
208	147	557
209	147	555
210	147	553
211	148	551
212	148	549
213	149	547
214	149	545
215	149	543
216	150	542
217	150	540
218	151	538
219	151	536
220	151	534
221	152	533
222	152	531
223	152	529
224	153	528
225	153	526
226	154	524
227	154	523
228	154	521
229	155	520
230	157	522
231	157	521
232	158	521
233	158	520
234	159	518
235	159	517
236	160	515
237	160	514
238	160	512
239	161	510
240	161	509
241	162	507
242	162	506
243	163	505
244	163	503
245	163	502
246	164	500
247	164	499
248	165	497
249	165	496
250	165	494
251	166	493
252	166	492
253	167	490
254	167	489
255	167	487
256	168	486
257	168	484
258	168	483
259	169	482
260	169	480
261	170	479
262	170	477
263	170	476
264	171	475
265	171	474
266	172	473
267	172	471
268	173	470
269	173	469
270	173	468
271	174	466
272	174	465
273	175	464
274	175	462
275	175	461
276	176	460
277	176	459
278	177	457
279	177	456
280	177	455
281	178	454
282	178	452
283	179	451
284	179	450
285	179	448
286	180	447
287	180	446
288	181	445
289	181	444
290	181	442
291	182	441
292	182	440
293	183	439
294	183	438
295	183	437
296	184	435
297	184	434
298	184	433
299	185	432
300	185	431
301	186	430
302	186	429
303	187	428
304	187	427
305	188	426
306	188	425
307	188	424
308	189	423
309	189	422
310	190	421
311	190	420
312	190	418
313	191	417
314	191	416
315	192	415
316	192	414
317	192	413
318	193	412
319	193	411
320	194	410
321	194	409
322	194	408
323	195	407
324	195	406
325	195	405
326	196	404
327	196	402
328	197	401
329	197	400
330	197	399
331	198	398
332	198	397
333	199	396
334	199	395
335	199	394
336	200	393
337	200	393
338	201	392
339	201	391
340	201	390
341	202	389
342	202	388
343	203	387
344	203	387
345	204	386
346	204	385
347	205	384
348	205	383
349	206	383
350	206	382
351	207	381
352	207	381
353	208	380
354	208	379
355	209	378
356	209	377
357	209	376
358	210	375
359	210	374
360	211	373
361	211	372
362	212	372
363	212	371
364	212	370
365	213	369
366	213	368
367	214	368
368	214	367
369	215	366
370	215	365
371	215	364
372	216	363
373	216	363
374	217	362
375	217	361
376	218	360
377	218	360
378	219	359
379	219	358
380	220	357
381	220	357
382	221	356
383	221	355
384	222	354
385	222	353
386	222	352
387	223	351
388	223	351
389	224	350
390	224	349
391	224	348
392	225	348
393	225	347
394	226	346
395	226	345
396	227	345
397	227	344
398	228	343
399	228	343
400	229	342
401	229	341
402	229	340
403	230	339
404	230	338
405	231	338
406	231	337
407	231	336
408	232	335
409	232	334
410	233	333
411	233	333
412	233	332
413	234	331
414	234	330
415	234	329
416	235	329
417	235	328
418	236	327
419	236	326
420	237	326
421	237	325
422	237	324
423	238	323
424	238	322
425	239	322
426	239	321
427	240	320
428	240	319
429	240	319
430	241	318
431	241	317
432	241	316
433	242	316
434	242	315
435	243	314
436	243	313
437	244	313
438	244	312
439	244	311
440	245	311
441	245	310
442	246	309
443	246	309
444	247	308
445	247	307
446	248	306
447	248	306
448	248	305
449	249	304
450	249	304
451	250	303
452	250	302
453	251	302
454	251	301
455	252	300
456	252	300
457	252	299
458	253	298
459	253	298
460	254	297
461	254	296
462	255	296
463	255	295
464	256	294
465	256	294
466	257	293
467	257	292
468	257	292
469	258	291
470	258	290
471	259	289
472	259	289
473	259	288
474	260	287
475	260	287
476	261	286
477	261	285
478	261	284
479	262	284
480	262	283
481	263	282
482	263	282
483	264	281
484	264	280
485	264	280
486	265	279
487	265	278
488	265	277
489	266	277
490	266	276
491	267	275
492	267	275
493	267	274
494	268	273
495	268	273
496	269	272
497	269	271
498	269	271
499	270	270
500	270	269
501	271	269
502	271	268
503	271	267
504	272	266
505	272	266
506	273	265
507	273	264
508	273	264
509	274	263
510	274	262
511	275	262
512	275	261
513	276	261
514	276	260
515	277	260
516	277	259
517	278	258
518	278	258
519	279	257
520	279	257
521	280	256
522	280	256
523	281	255
524	281	255
525	282	254
526	282	253
527	283	253
528	283	252
529	284	251
530	284	251
531	284	250
532	285	249
533	285	249
534	286	248
535	286	248
536	287	247
537	287	246
538	287	246
539	288	245
540	288	244
541	289	244
542	289	243
543	289	243
544	290	242
545	290	241
546	291	241
547	291	240
548	292	239
549	292	239
550	292	238
551	293	238
552	293	237
553	294	236
554	294	236
555	294	235
556	295	234
557	295	234
558	296	233
559	296	233
560	297	232
561	297	231
562	297	231
563	298	230
564	298	229
565	299	229
566	299	228
567	300	228
568	300	227
569	300	226
570	301	226
571	301	225
572	302	225
573	302	224
574	302	223
575	303	223
576	303	222
577	304	221
578	304	221
579	304	220
580	305	220
581	305	219
582	306	219
583	306	218
584	307	217
585	307	217
586	307	216
587	308	216
588	308	215
589	309	214
590	309	214
591	309	213
592	310	212
593	310	212
594	311	211
595	311	211
596	311	210
597	312	210
598	312	209
599	313	208
600	313	208
601	314	207
602	314	207
603	314	206
604	315	205
605	315	205
606	316	204
607	316	204
608	316	203
609	317	202
610	317	202
611	318	201
612	318	201
613	318	200
614	319	199
615	319	199
616	320	198
617	320	198
618	320	197
619	321	196
620	321	196
621	322	195
622	322	195
623	322	194
624	323	194
625	323	193
626	324	192
627	324	192
628	325	191
629	326	191
630	326	191
631	327	190
632	327	190
633	328	189
634	329	189
635	331	189
636	332	189
637	332	188
638	332	188
639	333	187
640	333	186
641	334	186
642	334	185
643	335	185
644	335	184
645	335	184
646	336	183
647	336	182
648	337	182
649	337	181
650	337	181
651	338	180
652	338	179
653	339	179
654	339	178
655	339	178
656	340	177
657	340	177
658	341	176
659	341	176
660	342	175
661	342	174
662	343	174
663	343	174
664	344	173
665	344	172
666	345	172
667	345	171
668	346	171
669	346	170
670	346	170
671	347	169
672	347	168
673	348	168
674	348	167
675	348	167
676	349	166
677	349	166
678	350	165
679	350	164
680	350	164
681	351	163
682	351	163
683	352	162
684	352	162
685	352	161
686	353	160
687	353	160
688	353	159
689	354	159
690	354	158
691	355	158
692	355	157
693	356	156
694	356	156
695	356	155
696	357	155
697	357	154
698	358	154
699	358	153
700	359	153
701	359	152
702	360	152
703	360	151
704	361	151
705	361	150
706	362	150
707	363	149
708	363	149
709	363	148
710	364	148
711	364	147
712	365	146
713	365	146
714	365	145
715	366	145
716	366	144
717	366	144
718	367	143
719	367	143
720	368	142
721	368	141
722	368	141
723	369	140
724	369	140
725	370	139
726	370	139
727	370	138
728	371	137
729	371	137
730	371	136
731	372	136
732	372	135
733	373	135
734	373	134
735	374	134
736	374	133
737	375	133
738	375	132
739	375	132
740	376	131
741	376	130
742	377	130
743	377	129
744	377	129
745	378	128
746	378	128
747	379	127
748	379	127
749	379	126
750	380	126
751	380	125
752	381	125
753	381	124
754	381	123
755	382	123
756	382	122
757	383	122
758	383	121
759	383	121
760	384	120
761	384	120
762	385	119
763	385	119
764	385	118
765	386	117
766	386	117
767	386	116
768	387	116
769	387	115
770	388	115
771	388	114
772	388	114
773	389	113
774	389	113
775	389	112
776	390	112
777	390	111
778	391	110
779	391	110
780	391	109
781	392	109
782	392	108
783	393	108
784	393	107
785	393	107
786	394	106
787	394	106
788	395	105
789	395	105
790	395	104
791	396	104
792	396	103
793	397	103
794	397	102
795	397	101
796	398	101
797	398	100
798	398	100
799	399	99
800	399	99
801	400	98
802	400	98
803	400	97
804	401	97
805	401	96
806	402	96
807	402	95
808	402	95
809	403	94
810	403	94
811	404	93
812	404	93
813	404	92
814	405	91
815	405	91
816	406	90
817	406	90
818	406	89
819	407	89
820	407	88
821	408	88
822	408	87
823	408	87
824	409	86
825	409	86
826	410	85
827	411	85
828	411	84
829	411	84
830	412	83
831	412	83
832	413	82
833	413	82
834	413	81
835	414	81
836	414	80
837	414	80
838	415	79
839	415	79
840	416	78
841	416	78
842	416	77
843	417	77
844	417	76
845	418	76
846	418	75
847	418	75
848	419	74
849	419	74
850	420	73
851	420	73
852	420	72
853	421	72
854	421	71
855	422	70
856	422	70
857	422	69
858	423	69
859	423	68
860	424	68
861	424	67
862	424	67
863	425	66
864	425	66
865	426	65
866	426	65
867	426	64
868	427	64
869	427	63
870	428	63
871	428	62
872	428	62
873	429	61
874	429	61
875	429	60
876	430	60
877	430	59
878	431	59
879	431	58
880	431	58
881	432	57
882	432	57
883	433	56
884	433	56
885	433	55
886	434	55
887	434	54
888	435	54
889	435	53
890	435	53
891	436	52
892	436	52
893	436	51
894	437	51
895	437	50
896	438	50
897	438	49
898	438	49
899	439	48
900	439	48
901	440	47
902	440	47
903	440	46
904	441	46
905	441	45
906	442	45
907	442	44
908	442	44
909	443	43
910	443	43
911	444	42
912	444	42
913	444	41
914	445	41
915	445	40
916	445	40
917	446	39
918	446	39
919	447	38
920	447	38
921	447	37
922	448	37
923	448	36
924	448	36
925	449	35
926	449	35
927	450	34
928	450	34
929	450	33
930	451	33
931	451	32
932	452	32
933	452	31
934	452	31
935	453	30
936	453	30
937	453	30
938	454	29
939	454	29
940	455	28
941	455	28
